TV,Radio,Social Media,Influencer
49.0,16.67239093,2.471372347,Nano
43.0,13.11223201,1.482339505,Mega
16.0,2.452537089,0.865971168,Macro
35.0,6.464550157,1.375936383,Mega
45.0,10.90863806,3.192073711,Mega
72.0,14.31731074,1.755859447,Mega
79.0,26.4735364,7.295709647,Macro
43.0,14.86636304,1.188064861,Micro
52.0,25.43144364,4.58797385,Micro
59.0,28.88785755,5.388404394,Micro
94.0,29.34460985,3.436481014,Mega
63.0,15.49398588,0.383257582,Macro
90.0,20.40428624,2.217787717,Nano
64.0,18.92071357,3.2484686,Nano
98.0,26.8474977,0.555850618,Macro
59.0,25.68728652,6.903109247,Macro
34.0,15.85130193,2.468160476,Macro
20.0,10.33151042,1.335153841,Micro
33.0,21.12198513,5.403303971,Nano
19.0,7.299359067,1.577311553,Micro
58.0,21.66817425,6.615751015,Macro
74.0,16.85524707,4.161090186,Mega
37.0,8.110512199,3.565895209,Macro
18.0,4.855549489,2.078003457,Mega
75.0,23.68041523,3.618129755,Micro
59.0,17.85584792,4.287900392,Macro
51.0,14.29224744,0.469666552,Micro
26.0,18.65206124,5.769453827,Nano
68.0,14.02880622,1.276217736,Nano
100.0,43.76069372,6.420970623,Nano
29.0,12.86904427,5.144390057,Macro
75.0,26.07350953,3.421472642,Macro
80.0,24.53154648,5.517524789,Nano
27.0,17.84797223,3.732882382,Mega
35.0,13.06947725,3.546487794,Macro
43.0,14.50355259,5.540172367,Macro
77.0,28.06805667,4.932782548,Micro
95.0,25.54636769,1.963490079,Micro
76.0,28.88737713,5.953678828,Micro
29.0,12.05821148,2.638573422,Nano
98.0,34.89357897,6.591226551,Nano
36.0,14.75867975,0.807413059,Micro
32.0,4.01212603,0.427108804,Nano
49.0,15.96031563,5.254906229,Micro
56.0,25.18369481,2.279885311,Mega
65.0,23.20506523,2.070453608,Nano
36.0,17.03355173,4.427632709,Macro
16.0,1.575240439,2.036787105,Micro
68.0,18.20170852,3.65305148,Micro
61.0,26.01795786,4.539550507,Micro
22.0,4.079788849,0.922612615,Mega
83.0,34.28141179,8.697487404,Nano
16.0,8.511221137,2.605974425,Mega
90.0,32.98908421,5.114303431,Macro
12.0,2.198543559,0.346488071,Nano
36.0,11.66355563,0.421868807,Micro
85.0,24.36995576,3.57934547,Mega
32.0,17.63131395,5.079566756,Micro
24.0,3.745263481,1.877094065,Mega
26.0,2.411407696,1.128846504,Mega
11.0,7.633014867,4.595993855,Macro
49.0,21.10940259,4.247449589,Macro
67.0,24.13761593,5.573093351,Mega
21.0,9.750389723,4.396804065,Macro
21.0,8.977244028,1.183893145,Micro
98.0,41.21683733,6.137985783,Micro
34.0,16.2792597,5.187613793,Macro
38.0,9.479729844,0.386659582,Mega
39.0,21.55430149,3.285517042,Micro
41.0,18.82047294,2.036738638,Micro
83.0,23.07633733,0.831079356,Micro
100.0,34.4882046,9.18719983,Mega
64.0,25.28047404,1.795472681,Macro
50.0,17.478614,6.264962348,Micro
91.0,31.00206421,3.149276093,Macro
24.0,4.583280072,1.76559653,Mega
30.0,15.00373423,1.25841303,Macro
,1.287060452,0.396178735,Macro
73.0,25.82738523,6.636373592,Macro
15.0,10.41031566,1.834639961,Micro
59.0,15.29205006,3.340436207,Macro
55.0,20.84266334,3.351639207,Mega
22.0,3.482537558,1.146371254,Macro
20.0,3.655618827,0.901505113,Nano
58.0,15.69086872,3.143849286,Micro
41.0,13.32463678,5.088006037,Mega
96.0,31.0321785,2.172376019,Mega
26.0,10.59953251,0.679275349,Macro
55.0,19.7220372,4.378775534,Micro
26.0,15.20439445,3.615245315,Micro
55.0,20.1870126,5.001959098,Mega
73.0,28.96041023,2.673042346,Nano
47.0,17.54913506,3.5932496,Nano
74.0,29.66161056,6.605580895,Mega
51.0,16.1902616,7.97216452,Mega
14.0,14.95556574,0.924449961,Nano
91.0,27.70783425,3.169181243,Mega
47.0,14.59516994,0.573235814,Nano
46.0,17.92129715,2.374454098,Nano
78.0,27.93358042,5.902596689,Mega
10.0,6.090843306,1.41702401,Macro
16.0,8.816320663,1.782789571,Nano
74.0,28.296297,5.03540586,Nano
92.0,36.90254427,7.630973429,Nano
34.0,7.110267429,3.588867403,Mega
84.0,26.01281569,3.027266611,Macro
10.0,5.825167051,0.105714735,Macro
45.0,8.41713121,4.06002921,Macro
85.0,31.35910881,3.82809637,Mega
70.0,24.30970927,2.404004508,Mega
54.0,18.12225321,6.685431919,Nano
75.0,38.27143199,8.586450249,Micro
87.0,21.84723897,4.848892139,Nano
49.0,10.06762616,1.729667405,Macro
65.0,16.2577251,3.206348981,Nano
96.0,32.98619486,5.525464692,Mega
41.0,7.275071751,3.573620196,Nano
22.0,12.65418479,1.185976057,Macro
15.0,5.559327554,1.207829519,Mega
40.0,8.210580502,0.54506686,Micro
37.0,12.70924201,4.63850598,Macro
19.0,6.005250648,2.38362943,Macro
94.0,31.26698648,5.332790413,Mega
18.0,10.73061151,0.827735972,Mega
55.0,21.06207556,3.82003968,Micro
50.0,11.36398701,2.32129586,Mega
80.0,21.66131793,4.286278224,Micro
69.0,31.30100477,4.080001577,Nano
68.0,26.21474469,5.257853498,Micro
82.0,28.51798649,5.24218225,Nano
23.0,12.05716495,1.448221333,Mega
48.0,10.35936844,3.609029513,Nano
33.0,18.64876502,2.010872689,Nano
25.0,5.488755498,0.394929989,Macro
85.0,28.20271003,7.586978644,Macro
22.0,10.88647478,1.949233449,Micro
31.0,10.42479883,3.18139857,Mega
27.0,3.349022876,0.783864614,Mega
75.0,19.53226006,3.961231768,Micro
78.0,26.82739706,2.389919757,Micro
87.0,36.78144812,5.944544971,Micro
21.0,0.220835039,2.792110085,Micro
97.0,34.78643691,5.168134754,Micro
14.0,0.936349062,0.389304514,Mega
44.0,19.00284737,4.362036251,Mega
70.0,17.63694287,4.824467434,Macro
85.0,36.0777564,11.40362504,Macro
13.0,2.807795774,0.60165589,Mega
62.0,16.08778914,5.060162938,Macro
26.0,10.95649923,2.940480542,Mega
100.0,34.77145023,6.553819539,Micro
46.0,14.71086338,0.961338138,Mega
24.0,12.90902808,4.127052774,Macro
21.0,1.434561884,0.076376517,Mega
56.0,18.73208697,5.045613626,Macro
53.0,13.90281276,0.50415037,Micro
49.0,13.38629377,0.812175296,Mega
46.0,15.49217812,1.251590075,Macro
48.0,12.33661999,1.217325392,Macro
28.0,4.140973909,2.501202365,Macro
98.0,27.33731038,2.839123372,Mega
64.0,26.37581692,3.715556358,Mega
62.0,22.51118185,5.611983098,Macro
47.0,7.903492524,1.551582154,Micro
86.0,29.093976,4.849590492,Micro
88.0,21.33298526,8.327309347,Micro
77.0,24.50900907,5.51559835,Mega
31.0,5.381640531,0.013626625,Micro
29.0,9.197032332,3.246667727,Micro
92.0,26.86626542,5.435402212,Micro
90.0,33.5117751,4.663526779,Macro
66.0,19.53230719,3.884088166,Nano
45.0,10.84335506,1.303214039,Micro
41.0,3.921540021,2.527850591,Nano
82.0,35.05290297,5.145975121,Nano
28.0,15.98710355,0.831085792,Mega
43.0,18.67268931,1.532240466,Micro
20.0,10.17960343,1.182064453,Nano
41.0,8.207210536,0.054399134,Nano
86.0,23.39740195,3.27863247,Macro
11.0,0.460924393,0.258229475,Micro
52.0,14.68622497,3.854732763,Mega
37.0,7.753853243,0.646902083,Nano
43.0,9.726736048,0.337998227,Macro
26.0,1.739578302,6.435910993,Macro
40.0,5.903771109,3.454079966,Nano
69.0,28.00048104,7.370702567,Micro
37.0,6.460701926,1.332038473,Nano
60.0,16.68841769,2.946457918,Macro
37.0,10.00031472,0.039404657,Mega
48.0,22.65504441,5.973427536,Mega
59.0,21.18724484,1.117233143,Nano
30.0,13.94263904,2.597301175,Macro
89.0,31.10587709,4.739285667,Macro
94.0,24.21879807,3.462431445,Micro
46.0,3.159829936,4.261809686,Nano
17.0,6.933958113,1.745695372,Macro
86.0,24.29320314,8.041212299,Micro
10.0,9.848337664,3.852180825,Micro
58.0,14.39177935,1.226266329,Micro
56.0,21.02285901,3.664076004,Nano
26.0,10.81384681,2.310877745,Micro
94.0,37.47520003,6.093510288,Macro
82.0,29.49738981,6.111231604,Micro
62.0,13.4829249,2.810263336,Macro
12.0,12.10063922,2.98563609,Macro
62.0,27.34392422,1.912193777,Mega
89.0,31.55684861,6.639293117,Micro
97.0,31.69082641,5.548205454,Nano
90.0,26.77426032,5.958191412,Macro
41.0,19.71084564,2.568993237,Mega
24.0,0.848264479,1.592571775,Nano
84.0,28.25824209,4.849899418,Mega
19.0,3.562325119,1.729921479,Nano
61.0,11.73759835,1.040604116,Macro
93.0,28.03820883,2.924281836,Nano
32.0,5.58329736,1.811827945,Mega
10.0,3.779924037,1.188229762,Macro
20.0,10.75005058,2.442173814,Macro
56.0,25.27608704,3.239265214,Mega
87.0,21.65560783,4.342996442,Macro
84.0,27.93352343,3.978525877,Macro
49.0,10.81167265,3.056311578,Macro
96.0,22.45101738,1.115810985,Nano
27.0,12.24599734,2.026165043,Mega
20.0,9.02380286,1.837913545,Nano
63.0,25.08149831,2.684253156,Micro
21.0,13.85032361,2.900443085,Mega
51.0,11.93587139,1.614925811,Macro
74.0,25.85526144,5.046778104,Macro
99.0,33.87824351,8.091610987,Mega
12.0,0.683476114,0.765877712,Micro
35.0,7.886447626,1.758378079,Mega
79.0,17.94459692,2.623383499,Macro
85.0,29.38321484,5.319155045,Macro
38.0,8.872274678,1.605213404,Macro
18.0,12.96311522,0.910273486,Macro
85.0,36.24543619,8.863215031,Macro
19.0,10.87774957,4.665977177,Mega
13.0,4.782495242,1.413944986,Micro
17.0,13.33245508,3.854678784,Mega
33.0,5.338710726,2.31694426,Macro
55.0,13.72729882,3.332910977,Nano
77.0,18.65217152,1.370781655,Mega
42.0,11.95627229,1.748785255,Micro
49.0,18.91431788,0.747304256,Macro
61.0,23.9098499,5.37298311,Macro
37.0,14.82608899,5.056452865,Mega
25.0,1.4394043,0.476601268,Mega
28.0,5.313706473,2.473598787,Nano
40.0,13.81986703,1.308923021,Mega
34.0,12.35039071,6.24012692,Mega
31.0,13.19716034,2.334421349,Nano
25.0,11.14088597,2.011770582,Mega
20.0,3.31555073,0.424423006,Micro
88.0,25.62127221,4.608967452,Mega
46.0,15.22052675,5.422181754,Nano
50.0,24.2342799,3.802225298,Nano
87.0,31.07122783,4.894238959,Nano
61.0,20.21722551,6.875922114,Nano
73.0,23.51262647,5.371989647,Micro
38.0,22.37705463,5.517499206,Nano
72.0,19.46438929,1.767531142,Nano
92.0,27.8684782,2.766438696,Micro
55.0,24.89381148,4.273602146,Micro
74.0,19.29015403,4.359484985,Nano
59.0,28.35102374,6.541167803,Macro
38.0,10.62808317,4.223887377,Nano
33.0,7.047832451,1.939791634,Macro
16.0,2.081858668,2.995109293,Micro
66.0,26.21942701,2.934109357,Micro
79.0,28.86285965,1.487848366,Nano
15.0,0.109105522,0.981484257,Nano
23.0,4.510090793,0.033647813,Mega
69.0,27.08276724,3.996892883,Mega
16.0,5.381920952,1.304031365,Nano
84.0,28.25584373,5.699994101,Mega
87.0,22.29068202,3.487820374,Mega
94.0,34.02585643,6.345909164,Macro
17.0,8.197932469,2.119872253,Mega
25.0,11.09126345,0.95375194,Mega
100.0,25.97867746,3.80746456,Mega
24.0,12.87917212,0.569848093,Nano
51.0,18.27354261,4.86975182,Nano
84.0,29.83428924,2.578412201,Micro
50.0,11.10971142,3.949362396,Nano
44.0,8.447034198,1.086840262,Mega
73.0,28.055282,3.205905832,Micro
79.0,33.69096007,7.889353903,Micro
55.0,19.80180903,1.585076725,Micro
78.0,24.89028294,3.531093274,Macro
14.0,12.39563737,1.908127571,Nano
13.0,11.97337764,0.12416714,Mega
13.0,14.52212352,2.823846857,Nano
57.0,24.07376287,3.314484216,Mega
98.0,28.55638293,5.407817067,Nano
89.0,31.77088669,5.88922997,Macro
98.0,31.2897755,4.623306125,Nano
47.0,11.99797611,2.844788545,Nano
10.0,5.139773121,4.751055878,Nano
46.0,17.87483166,3.918941935,Micro
14.0,4.643175727,0.637375788,Micro
93.0,24.93237267,1.253028505,Macro
47.0,27.98651144,5.474037323,Macro
61.0,20.78954416,2.473938172,Macro
12.0,6.674845961,1.986066032,Mega
39.0,2.347193413,0.588160135,Micro
93.0,32.52159528,6.428194995,Micro
94.0,35.77368976,2.094505692,Nano
75.0,21.56510793,6.507939785,Micro
89.0,38.20357545,6.574378925,Mega
80.0,26.50857047,0.441110839,Mega
35.0,9.497455756,2.826741899,Macro
21.0,7.046414004,0.056054843,Macro
15.0,0.388039549,1.104823047,Macro
19.0,9.22885874,1.70702226,Micro
34.0,9.510894674,0.979738318,Macro
46.0,10.35752477,6.720744372,Macro
50.0,22.48656303,4.686640068,Macro
17.0,9.736331095,0.598563708,Micro
63.0,20.23650027,4.367758728,Macro
34.0,9.997653399,3.082762553,Micro
12.0,11.83576293,2.828314712,Nano
45.0,12.90064612,0.843237641,Macro
84.0,23.15883778,6.493394974,Macro
35.0,14.82454522,1.765247886,Nano
52.0,18.43202672,5.483112242,Macro
54.0,24.93457064,2.991638586,Micro
66.0,20.88661089,4.727851849,Micro
52.0,18.22775097,1.46423568,Macro
24.0,10.79356441,2.557924297,Mega
24.0,18.9731144,5.827214413,Macro
65.0,24.23537069,3.319695807,Macro
21.0,5.092818753,1.400162555,Mega
69.0,20.65784983,3.72670806,Macro
24.0,13.022179,0.776760663,Macro
19.0,7.055647466,2.038211676,Mega
98.0,34.22011288,4.474838371,Mega
27.0,14.12523976,0.417048422,Mega
69.0,23.3830835,6.09007978,Macro
98.0,26.1898417,0.681756659,Mega
38.0,9.437711713,4.377587812,Mega
63.0,24.27373202,2.836324904,Micro
82.0,34.76779038,4.248044829,Micro
99.0,33.89927206,7.955180603,Macro
99.0,33.3817234,8.147554697,Micro
62.0,13.68365047,2.722705333,Micro
69.0,22.38809556,4.68004768,Macro
47.0,18.99043686,2.714217977,Micro
32.0,8.072375614,3.938810437,Nano
49.0,17.57987378,1.218985086,Macro
82.0,27.29885728,2.750432923,Mega
58.0,18.16916172,0.137570341,Macro
64.0,20.53317132,4.245637001,Micro
76.0,27.79645954,3.915785408,Macro
52.0,14.79010177,3.012857573,Macro
27.0,9.569824803,2.216601931,Mega
29.0,8.943415485,2.715735436,Nano
100.0,31.6462889,6.52108481,Micro
96.0,36.13679466,8.724352447,Nano
62.0,24.48263709,3.48394074,Macro
29.0,15.36355775,6.625992213,Micro
65.0,19.43854953,1.017771272,Macro
58.0,17.79137836,4.621131863,Macro
26.0,9.175047221,0.906720708,Micro
37.0,2.321754718,1.76389766,Nano
98.0,33.64967765,5.078640803,Micro
31.0,12.32745975,1.450388739,Mega
81.0,30.51678552,4.253765851,Mega
49.0,19.77045829,2.139144069,Macro
50.0,22.72817663,3.794120277,Mega
38.0,15.1755205,3.707866988,Micro
34.0,5.867787059,4.071008852,Mega
66.0,20.82213126,4.347559873,Mega
72.0,18.12593442,3.547403641,Nano
24.0,6.155116452,1.258231325,Micro
48.0,15.19533858,0.735757833,Nano
72.0,15.43129391,3.006825317,Macro
28.0,12.99050602,3.381622724,Micro
56.0,11.22170396,1.626544308,Macro
48.0,15.83963977,5.286098271,Mega
24.0,15.57823282,0.613989803,Macro
90.0,14.39599154,0.895646184,Nano
52.0,17.29692445,1.341983961,Micro
44.0,11.41018973,2.206969456,Mega
52.0,16.26671791,3.204358716,Nano
77.0,32.71817895,4.068253588,Micro
69.0,21.91504373,1.356265564,Micro
62.0,17.83636305,3.980693917,Micro
89.0,18.42630998,3.158669402,Macro
18.0,12.09442343,0.487387374,Macro
79.0,31.42973368,3.255131985,Mega
43.0,15.03138623,0.742116974,Mega
25.0,4.132424517,2.2690036,Mega
20.0,2.388284572,0.593664839,Mega
32.0,18.32416851,2.612609807,Nano
33.0,10.39803735,1.31512554,Macro
65.0,23.90796255,2.558253102,Macro
22.0,14.04193665,4.643545687,Macro
97.0,23.10529962,5.386107526,Macro
74.0,21.99112418,0.877580707,Micro
84.0,25.52112396,6.982196583,Micro
10.0,0.688749344,0.982755686,Mega
56.0,11.87274594,2.349050432,Nano
90.0,36.33821886,6.054413782,Nano
26.0,8.871762171,1.900113447,Nano
86.0,27.73800583,5.293540405,Macro
89.0,30.08565306,4.965533461,Nano
37.0,11.56440578,3.196670639,Micro
74.0,15.5431867,1.502156333,Mega
77.0,29.76975537,2.856585742,Macro
,6.48229344,0.866844994,Macro
68.0,16.67482871,1.329460183,Macro
15.0,2.777117161,2.523639962,Micro
80.0,23.62942306,4.262442573,Macro
95.0,31.35729304,9.619583514,Nano
72.0,11.81185289,0.497252493,Micro
88.0,27.46149343,1.524062069,Macro
78.0,34.10820913,5.137124807,Nano
85.0,32.16505613,5.313501318,Mega
45.0,15.75354548,0.714255601,Micro
67.0,18.3929601,1.625678012,Micro
39.0,16.97491196,5.187082923,Micro
45.0,15.44215432,1.161453302,Macro
54.0,27.807614,4.060781965,Nano
92.0,25.05226608,7.118749557,Micro
25.0,6.289604837,1.761397829,Nano
22.0,9.963834215,5.045815917,Nano
27.0,10.33353047,1.130122514,Macro
59.0,15.41542077,1.707459574,Mega
52.0,9.837592493,2.080182174,Macro
39.0,9.448712198,0.656320737,Nano
75.0,26.07549862,5.143706423,Mega
20.0,7.518263983,1.381464824,Nano
92.0,32.50731066,6.995889112,Nano
69.0,34.17860922,5.927940808,Nano
90.0,28.16502069,6.91914746,Mega
35.0,19.15649829,3.724764606,Macro
49.0,16.6826188,4.159433929,Mega
93.0,21.69683624,2.925124833,Nano
36.0,14.29764842,4.724222889,Mega
53.0,16.94523174,2.181723009,Micro
99.0,41.46858112,7.520477072,Macro
15.0,2.524965192,4.075476124,Mega
72.0,24.68121877,6.002450357,Nano
36.0,13.68058332,2.503554117,Macro
90.0,31.10307277,6.854287446,Macro
18.0,7.022067609,0.289604731,Micro
36.0,15.54358234,4.829662566,Mega
29.0,8.594467237,6.259991431,Macro
83.0,27.4575452,5.358948693,Micro
18.0,9.71688467,1.20773669,Nano
47.0,14.26513655,0.454169997,Mega
87.0,37.93348578,7.081628466,Macro
44.0,17.26939778,4.424545391,Micro
58.0,23.04770854,1.465806506,Micro
46.0,8.066799135,0.508134517,Micro
45.0,12.66662023,1.415740851,Nano
39.0,13.63285082,2.890436804,Micro
63.0,20.91620696,4.093511379,Mega
69.0,12.36276951,1.544761417,Micro
62.0,13.25095926,2.680226827,Nano
84.0,31.26640836,8.080731556,Nano
75.0,32.25518431,6.076591747,Macro
22.0,3.598474281,4.325620528,Micro
49.0,20.77180963,3.689627871,Nano
40.0,8.565813523,0.975294751,Micro
69.0,21.32044497,4.852932371,Nano
56.0,11.62903347,6.679102573,Nano
86.0,31.52189727,6.398283645,Mega
33.0,11.24753148,4.786842033,Micro
59.0,23.06216322,2.518604614,Micro
12.0,5.013390243,0.840971884,Nano
18.0,1.481611067,2.321315362,Nano
34.0,6.288521566,0.784940388,Mega
84.0,27.77118565,4.870181828,Macro
98.0,30.10192414,6.11314931,Nano
13.0,1.430684248,1.661340041,Micro
22.0,0.861286937,0.129393639,Mega
84.0,22.23462227,4.066662577,Mega
54.0,12.98134935,2.751051575,Macro
42.0,6.180146182,1.886427524,Micro
81.0,36.01062277,9.307983043,Micro
16.0,6.352914129,5.654725259,Nano
47.0,9.721111207,0.881835115,Macro
23.0,13.31099098,0.731708591,Nano
42.0,22.00041826,2.830148305,Micro
60.0,21.11999146,5.703028235,Macro
43.0,17.1361121,3.371310994,Mega
48.0,7.639383814,0.025406846,Mega
37.0,14.34414237,3.13864616,Mega
25.0,6.831105212,1.051652994,Micro
29.0,10.60776751,0.392276142,Mega
18.0,11.9832318,1.622753899,Macro
62.0,25.07908112,5.066101233,Nano
61.0,20.00446791,6.081970669,Mega
59.0,13.85180397,2.552071784,Micro
93.0,25.64704705,5.12437604,Micro
44.0,12.5643202,4.04894823,Nano
62.0,22.15719329,1.174740673,Macro
62.0,16.05487189,1.791704679,Macro
57.0,17.89151781,4.776428455,Micro
59.0,19.83461673,7.641127922,Nano
21.0,10.57592766,1.063323097,Nano
66.0,16.43219543,3.237042142,Macro
11.0,15.25965583,1.938091205,Micro
17.0,0.000683948,0.672619169,Nano
71.0,21.46999184,3.220821267,Mega
85.0,22.61804745,4.160026631,Mega
36.0,16.58347729,0.710402473,Mega
25.0,5.384656349,0.63199073,Mega
28.0,10.05191293,3.716741602,Macro
54.0,19.27265847,1.302007252,Micro
75.0,27.69457686,6.330322063,Mega
70.0,24.70391519,5.052822575,Mega
67.0,22.92648803,5.522947611,Nano
41.0,17.41067699,3.407154022,Mega
92.0,29.64528436,2.641853177,Macro
73.0,30.78177788,4.857009064,Mega
44.0,15.72633981,5.470316628,Mega
70.0,6.447448967,0.381426418,Micro
22.0,12.20577282,0.209628861,Macro
89.0,34.72354863,6.137642552,Macro
,17.00707465,5.199634828,Macro
72.0,29.09432783,4.46136209,Macro
45.0,23.88271762,3.316917257,Nano
80.0,31.55506543,5.829251423,Nano
28.0,7.46265367,2.487820224,Micro
49.0,8.283163563,1.257285088,Mega
56.0,22.81045197,2.525908541,Mega
76.0,18.62923764,3.880480663,Macro
58.0,20.50277946,2.798563099,Nano
99.0,36.73607325,7.608349815,Nano
20.0,2.372901063,0.857514423,Micro
26.0,1.218353879,1.270443869,Micro
99.0,32.49040456,8.220533067,Micro
51.0,18.95737635,2.877555299,Macro
63.0,17.25010011,0.87748155,Macro
52.0,19.75245225,3.573207176,Mega
33.0,0.94680009,0.659368424,Macro
55.0,16.34726096,1.401877027,Micro
66.0,24.52006676,7.789470963,Macro
36.0,7.870507587,1.157604556,Mega
16.0,6.566230788,2.907982773,Mega
85.0,29.38878187,2.734049922,Micro
89.0,26.23719393,2.72964696,Macro
65.0,23.33843751,3.875179167,Macro
65.0,23.25107396,2.460484219,Micro
51.0,12.89827532,1.831454795,Nano
11.0,9.398839224,3.206508472,Mega
55.0,18.50667095,4.089302485,Nano
46.0,19.57509597,4.310967846,Macro
84.0,27.29955891,5.084324988,Micro
70.0,22.17449472,1.088762382,Mega
46.0,5.523665535,1.952389236,Macro
99.0,41.96460607,9.476641246,Mega
48.0,20.83411647,0.539190245,Micro
98.0,25.83842228,6.986829858,Micro
45.0,20.19360374,4.269134455,Micro
65.0,26.21705634,5.481302028,Macro
55.0,20.10848671,2.728374334,Mega
44.0,15.28763889,4.180978812,Mega
29.0,4.442709588,3.533258348,Mega
13.0,8.233607467,1.324969168,Mega
83.0,21.93601248,4.436259637,Micro
40.0,14.68525338,1.862294023,Micro
23.0,6.662270909,0.142948635,Nano
61.0,25.22937094,3.211597629,Mega
48.0,18.0116912,5.942587756,Macro
89.0,39.10625599,8.950138985,Macro
75.0,23.21583157,2.823404512,Macro
77.0,28.86749641,3.481911572,Nano
90.0,30.82298689,1.891624828,Nano
66.0,15.01433754,3.656985086,Macro
88.0,31.06040008,5.598760009,Micro
42.0,11.85387899,0.425868638,Micro
27.0,5.345458831,1.836594068,Micro
51.0,24.00692574,4.152022007,Nano
68.0,19.53554781,2.056270378,Micro
52.0,10.65220223,0.81995501,Macro
85.0,26.31262933,3.527462273,Mega
79.0,24.182637,8.112998598,Macro
30.0,9.253700544,1.377505526,Micro
57.0,24.12221974,5.012811682,Macro
83.0,26.50247528,5.901473185,Macro
69.0,21.53031815,0.808431096,Macro
33.0,14.21518214,2.005887022,Micro
60.0,22.51866848,8.211918044,Macro
87.0,30.99099652,5.461506605,Micro
36.0,10.60419906,3.560618087,Micro
97.0,35.88463577,2.264974023,Micro
81.0,24.00515281,5.328289074,Micro
50.0,18.9396793,2.457398302,Micro
